penA	mtrR	porB	ponA	gyrA	parC	23S	ST
2.003	9	1	100	1	100	100	75
21.001	19	8	1	7	8	100	76
22.004	100	3	100	100	1	2	77
22.005	100	3	100	100	1	2	78
22.001	100	3	100	100	1	2	79
22.001	1	3	100	100	1	2	80
22.002	11	100	100	100	2	100	81
22.001	12	100	100	100	7	100	82
22.001	13	3	100	100	1	100	83
22.001	15	100	100	100	7	100	84
22.001	15	3	100	100	1	100	85
22.001	19	6	1	100	2	100	86
22.001	6	100	100	6	1	100	87
34.001	100	11	1	1	3	100	88
34.001	1	1	1	1	3	100	89
34.001	1	11	1	1	3	100	90
34.001	1	11	1	1	3	2	91
34.001	1	11	1	1	3	5	92
34.001	1	11	3	1	3	100	93
34.001	1	11	5	1	3	100	94
34.002	1	1	1	1	3	100	95
34.002	1	11	1	1	16	100	96
34.002	1	11	1	1	3	100	97
34.002	1	11	1	1	3	2	98
34.002	1	11	3	1	3	100	99
34.003	1	11	1	1	3	100	100
34.004	1	11	1	1	3	100	101
35.001	1	11	1	1	3	100	102
35.002	1	11	1	1	3	100	103
4.001	19	8	1	100	1	100	104
4.001	25	1	1	5	2	2	105
4.001	25	12	1	5	2	100	106
4.001	25	4	1	5	2	2	107
4.001	20	8	100	100	100	100	108
4.001	21	8	1	100	1	100	109
40.001	5	100	100	4	1	100	110
41.002	1	11	1	1	3	100	111
42.001	1	12	1	7	6	1	112
43.001	1	9	1	7	3	100	113
43.002	1	8	1	7	2	100	114
44.001	16	10	1	1	10	2	115
45.001	8	100	100	6	1	100	116
46.001	19	8	1	100	1	100	117
47.001	25	1	100	100	100	2	118
48.001	100	3	100	100	1	2	119
48.001	13	3	100	100	1	100	120
49.001	16	10	1	1	10	100	121
5.001	1	1	1	1	3	100	122
5.002	1	1	1	1	3	2	123
5.002	1	11	1	1	3	100	124
41.001	1	11	1	1	3	2	125
5.002	1	3	1	1	3	4	126
5.002	1	8	1	1	3	100	127
5.002	1	8	1	1	3	2	128
5.002	2	8	100	1	3	100	129
5.004	1	1	1	1	3	2	130
50.001	1	8	1	1	3	100	131
51.001	1	11	3	1	3	100	132
54.001	19	8	1	1	9	100	133
55.001	1	11	1	1	3	100	134
56.001	19	8	1	1	9	100	135
58.001	1	11	1	1	3	100	136
9.001	1	100	1	100	2	100	137
9.001	1	7	1	100	2	100	138
9.001	1	8	1	100	2	100	139
9.001	1	8	1	100	2	3	140
9.001	25	100	1	100	2	100	141
9.001	25	1	1	100	2	100	142
9.001	25	10	1	100	2	100	143
9.001	25	3	100	100	2	100	144
12.001	1	8	4	1	3	2	145
1.003	5	100	100	100	1	100	146
9.001	1	8	1	100	2	2	147
5.002	1	8	1	7	3	2	148
5.002	1	12	1	1	3	2	149
41.001	1	11	1	1	3	100	150
5.002	1	1	1	1	3	100	151
52.001	1	11	1	1	3	100	152
22.001	11	100	100	100	2	100	153
53.001	1	11	1	1	3	100	154
57.001	19	8	1	1	9	100	155
53.002	1	11	1	1	3	100	156
14.001	10	3	100	100	100	100	157
44.001	16	10	1	1	10	100	158
38.001	10	3	100	100	1	100	159
14.002	29	1	100	100	7	6	160
14.002	5	1	100	100	7	6	161
14.001	1	100	1	100	2	100	162
5.002	1	3	1	1	1	100	163
44.001	16	11	1	1	10	100	165
44.001	9	13	100	100	100	100	167
2.001	39	11	100	7	4	100	168
22.001	25	1	100	100	1	100	169
34.006	40	3	100	7	4	100	170
14.003	28	1	100	100	7	6	171
14.002	28	1	100	100	7	6	172
2.001	41	15	100	100	17	100	173
14.001	29	4	100	100	7	100	174
13.001	19	1	1	1	9	100	175
2.002	39	100	100	10	2	100	176
12.004	1	8	1	1	3	100	177
14.001	29	1	100	100	7	100	178
14.001	29	1	100	100	7	2	179
18.001	19	4	1	7	3	8	180
2.001	19	100	1	100	2	100	181
2.001	25	3	100	100	100	100	182
2.001	9	1	100	100	100	9	183
2.001	9	1	100	100	2	100	184
2.001	9	8	100	100	100	2	185
2.002	19	8	100	1	18	100	186
2.004	25	3	100	100	100	2	187
2.005	9	100	100	100	100	100	188
2.006	43	14	100	100	100	100	189
22.001	25	100	100	100	2	100	190
14.001	29	3	100	100	7	100	191
2.001	25	3	100	100	100	1	192
2.001	39	11	100	100	100	100	193
34.001	1	8	1	1	3	100	194
34.001	44	1	1	1	3	100	195
34.001	9	11	1	1	3	100	196
61.001	1	11	1	1	3	100	197
9.001	25	16	1	100	2	100	198
5.002	1	8	1	7	3	100	199
43.002	16	13	1	7	3	100	200
18.001	19	8	1	1	9	100	201
2.002	19	8	1	7	3	1	202
18.001	1	8	1	7	15	2	203
9.001	1	8	1	1	15	100	204
15.002	25	1	100	100	2	100	205
100.001	13	100	100	100	1	100	206
2.002	11	100	100	100	2	100	207
2.001	1	13	1	1	3	100	208
12.001	1	3	1	1	3	100	209
2.001	27	1	100	100	100	2	210
2.001	39	100	100	100	100	100	211
2.001	39	14	100	100	100	100	212
2.001	39	1	100	100	100	100	213
62.001	3	1	100	100	2	2	214
1.001	5	11	100	100	1	100	215
2.001	48	100	100	100	19	10	216
14.001	49	3	100	7	20	100	217
5.002	2	8	1	1	3	100	218
2.001	46	1	100	100	1	100	219
46.001	16	3	1	100	2	100	220
21.001	47	8	1	7	21	100	221
63.001	1	100	1	100	2	2	222
2.001	9	1	100	100	100	1	223
2.001	50	1	1	100	1	2	224
5.002	1	8	1	1	3	1	225
37.001	1	8	1	2	5	100	226
64.001	51	8	1	2	5	100	227
14.001	10	10	100	100	1	100	228
2.002	10	100	100	1	3	100	229
22.006	15	100	100	100	7	100	230
2.002	42	100	100	10	2	100	231
10.001	25	12	1	2	5	100	232
60.001	1	8	1	7	3	100	233
22.001	5	1	100	100	2	100	234
22.001	25	5	1	100	2	100	235
19.001	19	5	100	100	1	100	236
100.001	5	100	100	100	1	100	237
22.001	19	14	1	100	2	100	238
22.001	25	100	100	100	1	100	239
2.001	25	1	100	100	100	100	240
2.001	9	3	100	1	3	100	241
2.001	1	11	100	100	100	100	242
12.001	19	11	1	100	1	100	243
2.001	2	8	100	100	100	100	244
2.001	9	3	1	100	100	100	245
2.001	1	1	100	100	100	100	246
19.001	38	12	1	7	15	100	247
19.001	38	3	1	7	15	100	248
19.001	38	1	1	7	3	100	249
34.001	1	3	1	1	3	100	250
34.001	25	1	100	100	100	100	251
21.001	1	12	1	1	3	100	252
2.002	1	1	1	1	3	100	253
34.001	1	12	1	1	3	100	254
34.001	2	8	1	1	3	100	255
34.001	1	14	1	1	3	100	256
5.002	50	8	1	1	3	100	257
5.002	1	9	1	1	3	100	258
13.001	19	11	1	100	1	100	259
5.002	1	4	1	1	3	100	260
22.001	25	1	1	6	1	100	261
12.001	1	8	1	100	3	100	262
12.001	19	8	4	1	3	100	263
5.002	1	3	1	1	3	100	264
43.002	1	12	1	7	6	100	265
22.001	18	4	1	100	1	100	266
5.002	1	100	1	1	3	100	267
19.001	38	13	1	7	20	100	268
14.001	10	13	100	100	2	100	269
14.001	29	8	100	100	7	2	270
19.001	47	14	1	7	17	100	271
4.001	18	100	1	100	7	100	272
2.002	1	100	1	7	2	100	273
2.001	9	3	100	100	100	2	274
2.002	19	8	100	1	18	2	275
2.001	19	11	1	5	2	100	276
5.002	19	12	1	2	3	100	277
2.002	1	11	1	5	2	100	278
2.002	1	8	1	100	2	100	279
10.001	19	9	1	5	2	100	280
4.001	25	8	1	5	4	100	281
2.002	1	8	1	5	2	100	282
9.001	1	8	1	1	2	100	283
9.001	1	12	1	1	10	100	284
19.001	10	8	100	1	2	100	285
19.001	10	3	100	1	2	100	286
2.002	19	1	1	100	1	100	287
14.001	10	14	100	100	7	100	288
14.001	10	13	100	100	7	100	289
2.001	5	13	100	100	100	100	290
5.002	19	1	1	1	3	100	291
14.001	5	100	100	100	7	100	292
22.001	9	3	100	100	2	100	293
1.001	5	100	100	100	1	8	294
100.001	18	14	100	100	1	8	295
19.001	25	3	1	100	2	100	296
2.001	5	100	100	100	2	100	297
19.001	25	5	100	100	2	100	298
22.001	50	3	100	100	1	100	299
2.001	15	4	1	100	1	100	300
2.001	9	3	100	100	100	100	301
2.001	25	100	100	100	100	100	302
34.001	1	100	1	1	3	100	303
2.002	1	12	1	7	6	100	304
2.002	38	8	1	7	15	100	305
100.001	18	100	100	100	100	100	306
15.001	3	1	100	100	2	100	307
2.002	10	14	100	100	2	100	308
19.001	38	100	1	7	15	100	309
12.001	1	12	4	1	3	100	310
12.001	35	8	1	100	7	100	311
2.002	19	8	1	1	9	100	312
12.001	16	8	1	5	1	100	313
2.001	1	100	100	100	2	100	314
12.001	1	8	100	100	1	100	315
2.002	1	14	100	100	1	100	316
5.002	36	8	1	7	15	100	317
2.001	19	8	1	2	2	100	318
10.001	1	11	1	1	3	100	319
7.001	25	8	1	2	5	100	320
10.001	19	11	1	2	5	100	321
9.001	1	13	1	1	2	100	322
4.001	1	8	1	2	10	100	323
19.001	25	14	1	2	10	100	324
9.001	1	11	1	1	2	100	325
4.001	25	100	1	2	10	100	326
4.001	1	8	1	2	9	2	327
15.001	19	8	1	100	2	100	328
10.001	19	1	1	2	5	100	329
10.001	19	8	1	5	5	100	330
4.001	22	8	1	100	1	100	331
7.001	25	8	1	5	2	100	332
19.001	9	12	1	7	15	100	333
2.001	1	8	1	5	1	100	334
5.002	1	8	1	1	6	100	335
12.001	5	4	1	100	7	100	336
2.002	48	100	100	1	18	100	337
2.001	19	13	1	100	100	100	338
2.001	18	100	100	100	2	100	339
14.001	29	1	100	100	2	100	340
4.001	1	8	1	100	2	100	341
19.001	10	14	100	100	1	100	342
22.001	5	14	100	100	2	100	343
9.001	1	3	1	1	2	100	344
43.002	1	8	1	7	3	100	345
18.001	1	12	1	7	3	100	346
9.001	1	8	1	7	3	100	347
10.001	33	8	1	2	5	100	348
22.001	10	14	1	100	1	100	349
14.001	1	13	100	100	2	100	350
2.002	18	14	1	100	1	100	351
14.001	10	100	100	100	7	100	352
19.001	10	3	100	100	7	100	353
19.001	10	8	100	100	7	100	354
2.002	18	3	100	100	100	100	355
2.001	10	100	100	1	18	100	356
14.001	10	14	100	100	2	100	357
2.001	10	3	100	1	18	100	358
2.002	10	14	100	100	100	100	359
2.001	35	3	100	1	18	100	360
4.001	18	14	100	100	1	100	361
14.001	18	3	100	100	2	100	362
12.001	18	8	1	100	7	100	363
22.001	25	4	100	100	2	100	364
15.001	5	1	100	100	2	100	365
22.001	19	5	1	100	2	100	366
1.002	25	4	100	100	2	100	367
2.002	19	8	1	100	1	100	368
100.001	5	3	100	100	2	100	369
19.001	25	13	100	100	2	100	370
22.001	5	100	100	6	1	100	371
9.001	25	6	1	100	2	100	372
9.001	25	8	1	100	2	100	373
22.001	11	14	100	100	2	100	374
9.001	25	9	1	100	2	100	375
19.001	25	4	1	3	2	100	376
9.001	1	8	1	1	3	100	377
1.001	25	4	100	100	2	100	378
5.002	1	7	1	1	3	100	379
7.001	25	100	1	5	2	100	380
5.002	2	3	1	1	3	100	381
2.001	9	4	100	100	100	100	382
22.001	25	1	100	1	1	100	383
14.001	10	100	100	100	1	100	384
5.002	18	3	1	1	3	100	385
5.002	5	1	1	1	3	100	386
5.002	15	100	1	1	3	100	387
22.001	25	4	100	100	1	100	388
5.002	38	1	1	7	15	100	389
22.001	25	1	100	100	2	100	390
15.001	18	3	100	100	2	100	391
9.001	9	1	100	100	100	100	392
22.001	5	3	100	100	2	100	393
2.001	25	14	100	100	100	100	394
9.001	1	3	1	100	2	100	395
5.002	1	3	1	1	3	2	396
35.001	1	1	1	1	3	100	397
2.001	1	3	100	100	100	2	398
22.001	25	1	100	100	1	2	399
2.001	1	100	1	100	2	2	400
2.002	1	8	1	1	3	100	401
19.001	50	100	100	100	2	100	402
5.002	2	100	1	1	3	100	403
5.002	1	10	1	1	3	100	404
22.001	18	14	100	100	2	100	405
100.001	45	100	100	100	1	100	406
2.002	1	8	100	100	2	100	407
12.001	1	1	4	1	3	100	408
2.001	1	8	1	1	3	100	409
14.001	29	100	100	100	7	100	410
2.001	1	1	1	1	3	100	411
22.001	9	11	100	100	100	100	412
2.001	9	5	100	100	100	100	413
22.001	25	1	100	100	100	100	414
2.001	9	3	1	100	100	2	415
2.002	19	3	1	7	3	100	416
2.001	39	11	100	100	100	2	417
2.002	11	100	100	100	2	2	418
44.001	16	1	1	1	10	100	419
2.002	1	8	1	7	2	100	420
12.001	1	8	1	1	3	1	421
100.001	18	100	100	100	2	100	422
14.001	24	1	100	100	7	100	423
22.001	15	100	100	100	7	6	424
19.001	25	12	1	7	20	100	425
2.002	40	13	100	7	4	100	426
2.002	40	100	100	7	4	100	427
18.001	1	8	1	7	3	100	428
2.001	9	11	100	7	100	100	429
2.002	19	100	1	7	3	100	430
14.001	18	14	100	7	18	100	431
14.001	1	1	1	100	2	100	432
19.001	47	3	1	7	17	100	433
14.001	50	1	100	100	7	100	434
14.002	29	10	100	100	7	100	435
2.002	40	100	100	7	3	100	436
12.001	35	3	1	2	3	100	437
2.001	25	8	100	1	4	100	438
2.001	9	1	100	100	1	100	439
2.001	50	1	100	100	100	100	440
9.001	25	11	100	100	2	100	441
2.001	1	1	1	100	2	100	442
12.001	1	12	1	1	3	100	443
34.002	1	14	1	1	17	100	444
18.001	10	100	1	7	20	100	445
2.006	19	5	1	100	2	100	446
2.001	9	8	1	100	100	100	447
1.001	15	100	100	100	7	100	448
19.001	18	13	1	7	2	100	449
2.001	9	1	1	100	100	100	450
2.002	19	3	1	100	2	100	451
13.001	19	11	1	1	9	100	452
2.001	9	11	100	100	1	100	453
34.001	9	1	100	100	100	100	454
19.001	10	100	1	7	15	100	455
15.002	3	1	100	100	2	100	456
12.004	1	1	1	1	3	100	457
18.001	1	100	1	7	3	100	458
34.001	3	11	1	1	3	100	459
15.001	1	1	1	100	2	100	460
2.001	25	1	100	100	2	100	461
12.001	1	100	1	1	3	100	462
14.001	10	100	100	100	2	100	463
2.002	18	100	100	1	18	100	464
2.001	1	100	1	100	2	100	465
2.002	10	14	100	100	1	100	466
2.001	9	13	100	100	100	100	467
14.001	10	3	100	100	7	100	468
2.006	10	100	100	100	1	100	469
2.002	1	8	1	7	3	100	470
4.001	25	1	1	5	2	100	471
22.001	10	14	1	100	2	100	472
22.001	25	1	1	100	1	100	473
19.001	15	11	1	100	7	100	474
2.001	15	1	100	100	1	100	475
2.001	16	1	1	1	10	100	476
5.002	1	12	1	1	3	100	477
19.001	47	13	1	7	17	100	478
2.002	19	3	100	1	18	100	479
44.001	16	3	1	1	10	100	480
2.002	25	3	100	100	100	100	481
2.001	25	13	100	100	100	100	482
2.001	10	13	1	100	1	100	483
10.001	1	3	1	100	7	100	484
10.001	1	8	1	2	5	100	485
10.001	25	8	1	7	53	100	486
10.001	33	11	1	2	5	100	487
10.001	33	4	1	2	5	100	488
10.001	47	12	1	7	21	100	489
10.001	47	8	1	7	21	100	490
12.001	1	9	1	1	3	100	491
12.001	16	8	1	2	5	100	492
13.001	1	9	1	7	22	100	493
13.001	16	11	1	7	6	100	494
13.001	19	8	1	7	53	100	495
13.001	19	9	1	1	9	100	496
13.001	25	8	1	7	53	100	497
14.001	22	8	1	100	24	100	498
18.001	1	11	1	1	22	100	499
18.001	16	8	1	1	3	100	500
18.001	36	8	1	2	24	100	501
19.001	19	8	1	7	21	100	502
2.006	25	13	1	2	10	100	503
21.001	1	12	1	7	52	100	504
21.001	1	8	1	1	39	1	505
21.001	1	8	1	7	52	100	506
34.001	1	11	1	7	3	100	507
43.001	1	10	1	7	3	100	508
43.001	1	11	1	1	52	100	509
43.001	1	11	1	7	15	100	510
43.001	1	12	1	7	3	100	511
43.001	1	8	1	2	3	100	512
43.001	1	8	1	7	15	100	513
43.001	1	8	1	7	3	100	514
43.002	19	8	1	7	3	1	515
44.001	1	10	1	7	10	100	516
5.002	1	13	1	7	3	100	517
14.001	130	3	100	100	2	100	520
14.001	159	1	100	100	7	100	522
14.002	29	1	100	100	7	100	524
15.001	3	1	100	100	56	100	526
2.002	18	3	100	100	2	100	533
2.002	40	1	100	7	3	100	534
43.002	122	1	100	7	6	100	539
66.001	25	3	100	100	100	100	543
1.001	52	100	100	100	2	100	545
22.001	53	3	1	100	2	100	546
2.002	160	14	1	100	1	100	547
15.001	55	100	100	100	1	100	548
2.001	56	1	100	100	100	2	549
2.001	1	100	6	100	2	100	550
1.001	57	100	100	100	2	100	551
9.001	58	8	1	100	2	100	552
19.001	161	100	1	7	15	100	553
18.001	59	8	1	7	3	100	554
12.001	1	8	1	1	23	100	556
43.002	1	12	1	7	24	100	557
12.001	1	8	1	1	25	100	558
2.002	54	100	100	1	22	100	559
9.001	1	12	1	1	22	100	561
14.001	161	8	100	100	7	100	562
15.001	60	100	100	100	2	100	563
2.001	54	100	100	100	2	100	564
100.001	61	100	100	11	2	100	565
19.001	38	12	1	7	26	100	567
15.001	62	100	100	100	2	100	568
2.001	19	26	1	5	2	100	569
2.001	19	8	1	5	28	100	570
12.001	1	8	1	12	1	100	571
5.002	63	8	1	1	10	100	572
2.002	54	13	100	100	17	100	573
1.001	57	1	100	100	2	100	574
2.001	1	8	100	3	28	100	575
2.002	19	13	100	1	29	100	576
2.002	54	100	100	1	4	100	577
2.002	54	14	100	100	17	100	578
9.001	1	13	1	1	30	100	579
2.002	54	19	100	1	4	100	580
2.002	57	11	100	1	31	100	581
2.006	48	1	100	1	32	10	583
22.001	65	2	100	100	7	100	584
12.001	66	8	1	100	7	100	585
14.001	67	14	100	100	2	100	586
12.001	68	8	1	100	7	100	587
100.001	18	14	100	100	1	12	588
5.002	69	100	1	1	3	100	590
19.001	25	100	1	7	33	100	591
2.002	54	13	100	1	18	100	592
22.001	25	100	100	100	35	6	593
22.001	54	13	1	100	100	100	595
5.002	19	12	1	2	36	100	597
2.001	1	8	1	1	31	100	598
2.001	54	14	100	100	1	100	599
2.002	19	8	100	14	1	100	601
2.002	70	11	100	5	2	100	602
2.001	1	23	1	5	1	100	603
14.001	69	100	1	100	1	100	604
2.001	5	100	1	3	37	100	605
2.002	54	14	100	1	22	100	606
22.001	1	8	1	5	38	100	607
1.001	54	14	100	100	7	100	608
5.002	1	8	1	1	39	100	609
19.001	71	13	1	7	1	100	611
9.001	1	20	1	1	2	100	614
9.001	18	3	1	1	22	100	615
2.001	72	3	100	2	40	100	616
19.001	73	10	100	1	2	100	617
4.001	1	12	1	2	22	100	618
19.001	18	13	1	15	20	100	620
19.001	69	13	100	7	20	100	622
100.001	18	14	7	100	1	100	623
2.002	54	14	100	1	4	100	625
2.002	70	8	100	5	2	100	626
34.001	1	11	1	1	23	100	627
14.001	10	13	100	7	41	100	628
22.001	75	14	100	100	2	100	629
2.006	76	3	100	100	1	100	630
12.001	161	12	1	16	42	100	631
19.001	25	13	1	7	43	100	632
2.002	77	4	100	1	44	100	633
9.001	10	27	1	1	22	100	635
2.001	54	13	1	2	7	100	636
9.001	1	13	1	2	45	100	637
9.001	10	100	100	2	46	13	638
19.001	25	8	1	7	43	100	639
18.001	59	100	1	7	47	100	640
13.001	1	8	1	7	22	100	641
18.001	79	8	1	2	24	100	642
43.001	1	100	1	7	48	100	643
100.001	18	14	100	100	7	14	644
2.002	81	100	100	100	2	100	645
2.002	57	14	1	100	1	100	646
2.001	82	13	100	100	2	100	647
2.001	57	3	100	100	2	100	648
2.002	84	14	100	100	100	100	649
1.001	85	8	100	100	2	100	650
19.001	82	14	100	100	7	100	651
1.001	54	8	100	100	2	100	652
19.001	25	4	1	7	43	100	653
2.001	82	3	100	100	2	100	654
2.002	86	3	100	100	2	100	655
4.001	57	3	100	100	7	100	656
14.001	87	13	1	7	15	100	657
1.001	54	14	100	100	1	100	658
15.001	161	14	100	100	1	100	659
100.001	88	100	100	100	100	100	660
15.001	161	100	100	100	1	100	661
15.001	89	100	100	100	1	100	662
100.001	54	100	100	100	1	100	663
1.002	90	100	100	100	2	100	664
1.002	160	14	100	100	1	100	665
22.001	22	30	1	100	1	100	666
2.001	91	8	100	100	7	100	667
14.001	92	100	1	1	22	100	668
22.001	93	3	100	100	2	100	669
2.002	94	4	1	100	1	100	672
22.001	19	6	1	17	2	100	673
21.001	69	11	1	1	3	100	674
9.001	58	3	1	100	2	100	676
9.001	58	100	1	100	2	100	677
9.001	58	13	100	100	7	100	678
14.001	69	1	100	100	7	100	679
22.001	104	100	100	100	7	100	681
2.002	54	14	1	1	22	100	682
22.001	54	100	100	100	2	100	683
19.001	38	1	1	7	26	100	684
45.001	57	3	100	6	1	100	685
22.001	25	35	100	100	1	100	686
9.001	105	100	1	100	2	100	687
22.001	104	3	100	100	7	100	688
9.001	25	35	1	100	2	100	689
2.002	106	100	100	100	2	100	690
2.001	107	100	100	100	100	100	691
19.001	108	1	1	100	7	100	692
5.002	109	3	1	1	3	100	693
9.001	105	14	1	100	7	100	694
22.001	104	3	100	100	7	2	695
5.002	110	8	1	1	3	100	696
21.001	1	1	1	1	3	100	697
2.001	25	3	100	100	7	16	698
9.001	111	8	1	100	2	100	699
12.001	112	8	1	1	3	100	700
18.001	36	12	1	2	24	2	701
9.001	113	4	1	100	2	100	702
9.001	58	1	1	100	2	100	705
12.001	1	23	1	1	3	100	706
2.002	114	8	100	1	18	100	707
2.002	54	4	100	1	22	100	708
34.001	1	11	1	1	3	17	709
10.001	33	37	1	2	5	100	710
1.001	129	100	100	100	1	100	713
2.002	89	13	100	7	4	100	714
19.001	124	100	100	1	20	100	715
2.002	134	100	100	100	2	100	716
2.001	135	1	100	100	100	100	717
43.002	54	14	100	1	22	100	718
2.002	89	100	100	7	4	100	719
34.001	64	11	1	1	3	100	720
12.001	74	8	1	2	49	100	721
1.001	137	100	100	100	1	100	722
1.001	138	100	100	100	54	100	723
2.002	139	100	100	100	2	100	724
1.001	136	100	100	100	1	100	725
14.001	58	1	100	7	20	100	726
44.001	16	10	1	1	45	2	727
2.002	141	14	1	1	18	100	728
15.001	142	100	100	100	2	100	729
1.001	143	100	100	100	1	100	730
22.001	25	43	100	100	2	100	731
19.001	124	3	100	1	20	100	732
2.001	145	1	1	100	1	100	733
2.002	69	4	1	7	20	100	734
1.001	54	3	100	100	2	100	735
22.001	15	100	100	100	57	100	736
15.002	146	14	100	100	2	100	737
15.001	88	100	100	100	2	100	738
5.002	147	8	1	1	3	100	739
2.002	54	100	1	1	18	100	740
22.001	148	3	100	100	1	100	741
19.001	149	14	1	7	15	100	743
5.002	150	100	1	1	3	100	744
22.001	73	3	1	100	2	100	745
2.002	19	45	100	1	18	100	746
22.001	151	3	100	100	1	100	747
43.002	1	11	1	7	24	100	748
1.001	103	100	100	100	1	100	749
14.001	152	100	100	100	7	100	750
9.001	105	5	100	100	2	100	751
2.002	19	8	100	1	31	100	752
2.001	123	13	1	100	1	100	753
2.001	123	14	1	100	1	100	754
2.001	123	13	1	100	100	100	755
34.001	1	100	1	1	3	2	758
19.001	38	1	1	7	15	9	769
22.001	15	3	100	100	7	100	774
9.001	10	3	100	1	49	100	776
14.001	29	13	100	100	7	100	777
2.002	40	13	100	7	4	16	778
2.002	40	13	100	7	55	100	779
2.002	19	3	1	7	3	9	780
12.005	1	1	1	1	3	100	783
2.002	19	13	1	7	3	100	798
14.001	49	13	100	7	20	100	801
2.008	1	3	1	100	2	100	803
15.001	25	1	100	100	100	2	806
2.001	25	1	100	100	100	2	810
2.002	125	14	1	100	7	100	827
2.002	19	9	1	7	3	1	828
2.001	123	14	1	100	100	100	829
2.001	16	13	100	1	18	100	830
19.001	47	12	1	7	20	100	831
63.001	1	100	1	100	2	100	832
2.002	10	14	100	1	26	100	833
2.008	54	14	1	7	20	100	836
2.002	54	19	100	100	2	100	837
22.001	127	3	100	100	7	100	838
2.001	123	14	100	100	1	100	839
2.001	123	100	1	100	1	100	840
22.001	123	100	100	100	1	100	841
2.001	123	100	1	20	1	100	842
2.001	123	14	1	20	1	100	843
2.001	123	100	1	100	100	100	844
2.001	9	100	100	100	100	100	845
100.001	5	100	100	100	2	100	846
1.001	1	14	1	7	2	100	847
1.001	15	14	100	100	7	100	848
1.001	18	100	1	7	2	100	849
1.001	162	1	100	100	1	100	850
1.005	5	100	100	100	1	100	851
1.008	5	100	100	100	1	100	852
10.001	1	12	1	1	3	100	853
10.001	19	8	1	1	3	100	854
10.001	25	8	1	1	5	100	855
11.001	1	8	1	100	2	100	856
12.001	1	11	1	1	3	100	857
12.001	19	8	1	1	3	100	858
14.001	5	3	100	100	7	100	859
14.001	9	1	100	100	100	100	860
14.001	10	100	1	7	7	100	861
14.001	10	100	1	100	7	100	862
14.001	10	100	100	100	3	100	863
14.001	11	100	100	100	2	100	864
14.001	18	100	100	100	2	100	865
14.001	29	8	100	100	7	100	866
15.001	5	100	100	100	2	100	867
19.001	5	4	1	7	33	100	868
19.001	10	13	1	7	26	100	869
19.001	15	100	1	7	15	100	870
19.001	24	12	1	7	15	100	871
19.001	25	4	1	7	33	100	872
19.001	25	16	1	7	43	100	873
19.001	38	11	1	7	55	100	874
19.001	38	12	1	7	55	100	875
19.001	38	21	1	7	15	100	876
19.001	38	100	1	7	55	100	877
19.001	64	4	1	7	33	100	878
